id,state,soil_type,irrigation,season,crop,RDF_N_kg_ha,RDF_P2O5_kg_ha,RDF_K2O_kg_ha,adjusted_N_kg_ha,adjusted_P2O5_kg_ha,adjusted_K2O_kg_ha
1,Punjab,Sandy loam,Rainfed,Kharif (Monsoon),Sugarcane,200,60,100,178,50,109
2,Maharashtra,Sandy loam,Rainfed,Kharif (Monsoon),Rice,120,60,60,105,53,62
3,Maharashtra,Loam,Rainfed,Kharif (Monsoon),Tomato,120,80,50,123,89,40
4,Haryana,Black,Rainfed,Rabi (Winter),Maize,150,60,30,137,66,25
5,Bihar,Sandy loam,Rainfed,Rabi (Winter),Mustard,80,40,40,87,43,40
6,Bihar,Sandy loam,Rainfed,Summer (Zaid),Soybean,25,60,40,25,64,32
7,Haryana,Clay loam,Irrigated,Kharif (Monsoon),Wheat,120,60,60,115,58,68
8,Haryana,Clay loam,Rainfed,Kharif (Monsoon),Mustard,80,40,40,84,42,33
9,Haryana,Loam,Irrigated,Rabi (Winter),Groundnut,25,50,75,23,58,80
10,Haryana,Clay loam,Irrigated,Kharif (Monsoon),Rice,120,60,60,130,57,49
11,Maharashtra,Clay loam,Irrigated,Summer (Zaid),Tomato,120,80,50,116,93,49
12,Uttar Pradesh,Loam,Irrigated,Summer (Zaid),Potato,150,90,100,151,98,97
13,Maharashtra,Black,Rainfed,Kharif (Monsoon),Maize,150,60,30,150,50,24
14,Punjab,Loam,Irrigated,Summer (Zaid),Groundnut,25,50,75,25,47,77
15,Bihar,Clay loam,Irrigated,Summer (Zaid),Wheat,120,60,60,126,60,54
16,Uttar Pradesh,Sandy loam,Rainfed,Rabi (Winter),Maize,150,60,30,147,70,34
17,Uttar Pradesh,Loam,Irrigated,Summer (Zaid),Mustard,80,40,40,88,40,35
18,Uttar Pradesh,Loam,Irrigated,Summer (Zaid),Soybean,25,60,40,24,50,37
19,Uttar Pradesh,Loam,Irrigated,Kharif (Monsoon),Wheat,120,60,60,105,59,49
20,Maharashtra,Loam,Irrigated,Summer (Zaid),Tomato,120,80,50,136,69,50
21,Maharashtra,Black,Irrigated,Summer (Zaid),Sugarcane,200,60,100,212,57,106
22,Uttar Pradesh,Black,Rainfed,Kharif (Monsoon),Sugarcane,200,60,100,183,56,103
23,Haryana,Loam,Irrigated,Kharif (Monsoon),Rice,120,60,60,110,69,68
24,Punjab,Loam,Rainfed,Summer (Zaid),Tomato,120,80,50,109,68,58
25,Maharashtra,Black,Irrigated,Rabi (Winter),Groundnut,25,50,75,22,41,72
26,Bihar,Black,Rainfed,Summer (Zaid),Rice,120,60,60,126,71,50
27,Bihar,Clay loam,Irrigated,Kharif (Monsoon),Sugarcane,200,60,100,181,58,96
28,Uttar Pradesh,Black,Irrigated,Kharif (Monsoon),Tomato,120,80,50,131,91,41
29,Maharashtra,Sandy loam,Irrigated,Kharif (Monsoon),Maize,150,60,30,145,59,34
30,Punjab,Loam,Rainfed,Kharif (Monsoon),Groundnut,25,50,75,23,55,73
31,Bihar,Black,Irrigated,Kharif (Monsoon),Mustard,80,40,40,73,32,43
32,Punjab,Clay loam,Irrigated,Kharif (Monsoon),Tomato,120,80,50,120,91,43
33,Maharashtra,Sandy loam,Irrigated,Kharif (Monsoon),Wheat,120,60,60,126,53,50
34,Maharashtra,Loam,Irrigated,Summer (Zaid),Wheat,120,60,60,117,62,60
35,Uttar Pradesh,Loam,Rainfed,Kharif (Monsoon),Mustard,80,40,40,77,42,36
36,Uttar Pradesh,Sandy loam,Irrigated,Rabi (Winter),Wheat,120,60,60,104,53,54
37,Uttar Pradesh,Sandy loam,Irrigated,Rabi (Winter),Mustard,80,40,40,71,45,43
38,Maharashtra,Sandy loam,Rainfed,Summer (Zaid),Wheat,120,60,60,135,51,50
39,Punjab,Loam,Rainfed,Rabi (Winter),Sugarcane,200,60,100,213,52,105
40,Uttar Pradesh,Black,Rainfed,Kharif (Monsoon),Wheat,120,60,60,124,67,49
41,Uttar Pradesh,Loam,Rainfed,Kharif (Monsoon),Tomato,120,80,50,121,77,40
42,Punjab,Loam,Irrigated,Rabi (Winter),Potato,150,90,100,134,76,92
43,Punjab,Clay loam,Irrigated,Summer (Zaid),Sugarcane,200,60,100,210,56,102
44,Bihar,Loam,Irrigated,Kharif (Monsoon),Maize,150,60,30,167,48,32
45,Uttar Pradesh,Black,Irrigated,Rabi (Winter),Maize,150,60,30,162,50,34
46,Bihar,Loam,Irrigated,Rabi (Winter),Soybean,25,60,40,23,67,35
47,Punjab,Loam,Rainfed,Rabi (Winter),Mustard,80,40,40,88,47,36
48,Maharashtra,Black,Rainfed,Kharif (Monsoon),Wheat,120,60,60,133,54,61
49,Uttar Pradesh,Sandy loam,Irrigated,Summer (Zaid),Groundnut,25,50,75,23,55,73
50,Maharashtra,Sandy loam,Rainfed,Summer (Zaid),Sugarcane,200,60,100,185,65,80
51,Maharashtra,Loam,Rainfed,Rabi (Winter),Wheat,120,60,60,136,70,62
52,Punjab,Clay loam,Rainfed,Summer (Zaid),Groundnut,25,50,75,23,53,76
53,Haryana,Black,Rainfed,Summer (Zaid),Maize,150,60,30,155,55,30
54,Punjab,Clay loam,Rainfed,Kharif (Monsoon),Groundnut,25,50,75,27,52,69
55,Bihar,Black,Irrigated,Summer (Zaid),Tomato,120,80,50,130,94,54
56,Punjab,Clay loam,Rainfed,Kharif (Monsoon),Sugarcane,200,60,100,210,53,87
